Route,Location,URL,Avg Stars,Your Stars,Route Type,Rating,Pitches,Length,Area Latitude,Area Longitude
Teenage Enema Nurses in Bondage,Beardsley Roped Routes > Beardsley Boulders Area > **Phoenix Areas > Central Arizona > Arizona,https://www.mountainproject.com/route/105800808/teenage-enema-nurses-in-bondage,3.0,-1,Trad,5.9+ PG13,1,30.0,33.68234,-112.04284
Moguls,Mogul Wall > Little Granite Mountain > **Phoenix Areas > Central Arizona > Arizona,https://www.mountainproject.com/route/109901753/moguls,3.0,-1,Trad,5.9+,1,150.0,33.78654,-111.80414
Goth Sloth,Goth Sloth Area > Mesquite Wash Rockpile > Central Arizona > Arizona,https://www.mountainproject.com/route/125472084/goth-sloth,4.0,-1,Trad,5.7,1,60.0,33.7128,-111.51248
Confidence Flake,Confidence Flake Area > Shady's > Mesquite Wash Rockpile > Central Arizona > Arizona,https://www.mountainproject.com/route/125472818/confidence-flake,3.0,-1,Trad,5.7 PG13,1,60.0,33.71381,-111.51395
The Power Within,Easy Street > Mesquite Wash Rockpile > Central Arizona > Arizona,https://www.mountainproject.com/route/125472368/the-power-within,3.0,-1,Trad,5.8- PG13,1,35.0,33.71286,-111.51305
Sideshow,Goth Sloth Area > Mesquite Wash Rockpile > Central Arizona > Arizona,https://www.mountainproject.com/route/125472628/sideshow,3.3,-1,Trad,5.8,1,30.0,33.7128,-111.51248
Onyx Arete,Beardsley Roped Routes > Beardsley Boulders Area > **Phoenix Areas > Central Arizona > Arizona,https://www.mountainproject.com/route/125889658/onyx-arete,3.0,-1,"Trad, TR",5.8 R,1,25.0,33.68234,-112.04284
Manky Mantle,Manky Mantle > Shady's > Mesquite Wash Rockpile > Central Arizona > Arizona,https://www.mountainproject.com/route/125472729/manky-mantle,3.0,-1,"Trad, TR",5.8+ PG13,1,45.0,33.71335,-111.51361
Battle Scars,Coon Bluff > Central Arizona > Arizona,https://www.mountainproject.com/route/126027733/battle-scars,3.0,-1,Sport,5.9,1,50.0,33.5471,-111.6482
Black Pearl,Coon Bluff > Central Arizona > Arizona,https://www.mountainproject.com/route/126027783/black-pearl,3.7,-1,Sport,5.9,1,65.0,33.5471,-111.6482
Unintentional Show-off,Coon Bluff > Central Arizona > Arizona,https://www.mountainproject.com/route/126027808/unintentional-show-off,3.5,-1,Sport,5.9,1,65.0,33.5471,-111.6482
Live & Learn,Coon Bluff > Central Arizona > Arizona,https://www.mountainproject.com/route/126209495/live-learn,3.0,-1,Sport,5.9,1,70.0,33.5471,-111.6482
Cthulhu Banana,Goth Sloth Area > Mesquite Wash Rockpile > Central Arizona > Arizona,https://www.mountainproject.com/route/126159015/cthulhu-banana,3.5,-1,"Trad, TR",5.9+,1,35.0,33.7128,-111.51248
Made in The Shade,Mogul Wall > Little Granite Mountain > **Phoenix Areas > Central Arizona > Arizona,https://www.mountainproject.com/route/123845733/made-in-the-shade,3.5,-1,Sport,5.10a,1,110.0,33.78654,-111.80414
NCMOS,East Face Area > Mesquite Wash Rockpile > Central Arizona > Arizona,https://www.mountainproject.com/route/126159340/ncmos,3.0,-1,Trad,5.10a,1,15.0,33.71251,-111.51231
Arizona Ice Climb,Fire and Ice Wall > Superstition Mountains > **Phoenix Areas > Central Arizona > Arizona,https://www.mountainproject.com/route/123679248/arizona-ice-climb,3.0,-1,Trad,5.10-,4,350.0,33.40141,-111.38149
Wait until Dark,Beardsley Roped Routes > Beardsley Boulders Area > **Phoenix Areas > Central Arizona > Arizona,https://www.mountainproject.com/route/125863606/wait-until-dark,4.0,-1,"Sport, TR",5.10-,1,40.0,33.68234,-112.04284
Onyx Face,Beardsley Roped Routes > Beardsley Boulders Area > **Phoenix Areas > Central Arizona > Arizona,https://www.mountainproject.com/route/125890088/onyx-face,3.0,-1,"Trad, TR",5.10- R,1,25.0,33.68234,-112.04284
BYOB,Coon Bluff > Central Arizona > Arizona,https://www.mountainproject.com/route/126027882/byob,3.5,-1,Sport,5.10a/b,1,85.0,33.5471,-111.6482
Dikewalk,The Loaf > Little Granite Mountain > **Phoenix Areas > Central Arizona > Arizona,https://www.mountainproject.com/route/123755291/dikewalk,3.0,-1,Sport,5.10b R,1,100.0,33.77748,-111.80311
Granite Doxology,Beardsley Roped Routes > Beardsley Boulders Area > **Phoenix Areas > Central Arizona > Arizona,https://www.mountainproject.com/route/125247757/granite-doxology,3.0,-1,"Trad, TR",5.10 R,1,30.0,33.68234,-112.04284
Sweet and Gruff,Goat Hill > McDowell Mountains > **Phoenix Areas > Central Arizona > Arizona,https://www.mountainproject.com/route/125257839/sweet-and-gruff,3.0,-1,Trad,5.10,2,150.0,33.67889,-111.80181
Coexist,Goth Sloth Area > Mesquite Wash Rockpile > Central Arizona > Arizona,https://www.mountainproject.com/route/125473069/coexist,4.0,-1,Trad,5.10,1,65.0,33.7128,-111.51248
Wretched Space Girl,Goth Sloth Area > Mesquite Wash Rockpile > Central Arizona > Arizona,https://www.mountainproject.com/route/126158864/wretched-space-girl,3.0,-1,Trad,5.10,1,35.0,33.7128,-111.51248
3Deez Nutz,Goth Sloth Area > Mesquite Wash Rockpile > Central Arizona > Arizona,https://www.mountainproject.com/route/126158912/3deez-nutz,3.5,-1,Trad,5.10+,1,40.0,33.7128,-111.51248
Cosmic Kitty,East Face Area > Mesquite Wash Rockpile > Central Arizona > Arizona,https://www.mountainproject.com/route/126159214/cosmic-kitty,4.0,-1,Trad,5.10+,1,30.0,33.71251,-111.51231
Good Vibrations,Pinnacle Peak > Pinnacle Peak > **Phoenix Areas > Central Arizona > Arizona,https://www.mountainproject.com/route/125777039/good-vibrations,3.3,-1,Trad,5.10d,1,50.0,33.72624,-111.86334
Cocaine Corner,Goth Sloth Area > Mesquite Wash Rockpile > Central Arizona > Arizona,https://www.mountainproject.com/route/125472260/cocaine-corner,3.5,-1,Sport,5.11-,1,30.0,33.7128,-111.51248
Winsome Slash,Coon Bluff > Central Arizona > Arizona,https://www.mountainproject.com/route/126027688/winsome-slash,4.0,-1,Sport,5.11-,1,45.0,33.5471,-111.6482
Palomino,Coon Bluff > Central Arizona > Arizona,https://www.mountainproject.com/route/126027847/palomino,4.0,-1,Sport,5.11-,1,75.0,33.5471,-111.6482
Mirror Maker,Goth Sloth Area > Mesquite Wash Rockpile > Central Arizona > Arizona,https://www.mountainproject.com/route/126159056/mirror-maker,4.0,-1,Trad,5.11- R,1,30.0,33.7128,-111.51248
Glass Menagerie,The Menagerie > Shady's > Mesquite Wash Rockpile > Central Arizona > Arizona,https://www.mountainproject.com/route/126158752/glass-menagerie,4.0,-1,"Trad, TR",5.11a/b PG13,1,35.0,33.71322,-111.51355
Third Place,The Menagerie > Shady's > Mesquite Wash Rockpile > Central Arizona > Arizona,https://www.mountainproject.com/route/126159354/third-place,3.0,-1,"Trad, TR",5.11 PG13,1,30.0,33.71322,-111.51355
