Route,Location,URL,Avg Stars,Your Stars,Route Type,Rating,Pitches,Length,Area Latitude,Area Longitude
Impotence,Decadent Wall > Breadloaves > City of Rocks > South Idaho > Idaho,https://www.mountainproject.com/route/108118883/impotence,3.0,-1,"Trad, Sport",5.10d,1,80,42.08612,-113.72944
Grandpa's Route,Tall Cliffs > Black Cliffs > West Idaho > Idaho,https://www.mountainproject.com/route/110988579/grandpas-route,2.9,-1,Sport,5.10d,1,,43.5363,-116.0857
Basic Training,Short Cliffs > Black Cliffs > West Idaho > Idaho,https://www.mountainproject.com/route/107370375/basic-training,2.9,-1,Trad,5.10a,1,50,43.53993,-116.09204
Boys-r-Blue,East Car Body Canyon > Black Cliffs > West Idaho > Idaho,https://www.mountainproject.com/route/108393554/boys-r-blue,2.9,-1,Sport,5.10b/c,1,,43.5349,-116.08157
Unknown bolted route between Number Eight and Dolly,Tall Cliffs > Black Cliffs > West Idaho > Idaho,https://www.mountainproject.com/route/110989734/unknown-bolted-route-between-number-eight-and-dolly,2.9,-1,Sport,5.9+,1,,43.5363,-116.0857
Three Little Devils,Westside > Hells Gate > North Idaho > Idaho,https://www.mountainproject.com/route/114455265/three-little-devils,3.3,-1,Sport,5.10b,1,45,46.34293,-117.03815
Stone Throwers of Palestine,The Prow > Dierkes Lake > Twin Falls and the Snake River Canyon > South Idaho > Idaho,https://www.mountainproject.com/route/112335705/stone-throwers-of-palestine,3.0,-1,Sport,5.10b,1,100,42.59598,-114.39631
Unnamed,The Thinking Spot > McCall Area > West Idaho > Idaho,https://www.mountainproject.com/route/115312016/unnamed,3.3,-1,Sport,5.10+,1,60,45.00345,-116.05926
Cliffside Camp Crack,Middle Fork of the Salmon > Central Idaho > Idaho,https://www.mountainproject.com/route/111989142/cliffside-camp-crack,3.1,-1,Trad,5.9,1,60,45.21975,-114.68391
CLOSED TO CLIMBING Freudian Slip,CLOSED TO CLIMBING Asylum Wall > CLOSED TO CLIMBING Owl Cove Area > Massacre Rocks > East Idaho > Idaho,https://www.mountainproject.com/route/110781313/closed-to-climbing-freudian-slip,3.3,-1,Sport,5.11a,1,70,42.67351,-113.0011
